pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
SEWC,CTRL,71,1000,0.2518,10.71,35,204.3825768,SRP,0.238879358,13.45400534,-0.572291619
SEWC,CTRL,12,0,0.1197,8.77,30,1485.73383,NH4,1.768184439,13.45400534,-0.056118832
SEWC,CTRL,12,0,0.1197,8.77,30,1485.73383,NP,7.732696829,13.45400534,1.5650883
SEWC,CTRL,12,0,0.1197,8.77,30,1485.73383,SRP,0.22866336,13.45400534,-0.619140124
SEWC,CTRL,56,750,0.1475,8.87,29,441.8817678,NH4,1.210486456,13.45400534,-0.963108955
SEWC,CTRL,56,750,0.1475,8.87,29,441.8817678,NP,2.789511532,13.45400534,-1.589017763
SEWC,CTRL,56,750,0.1475,8.87,29,441.8817678,SRP,0.433942087,13.45400534,0.322226682
SEWC,CTRL,57,750,0.2375,10.86,40,0,NH4,1.297310943,13.45400534,-0.821905374
SEWC,CTRL,57,750,0.2375,10.86,40,0,NP,3.176627721,13.45400534,-1.342009923
SEWC,CTRL,57,750,0.2375,10.86,40,0,SRP,0.408392502,13.45400534,0.205061442
SEWC,CTRL,26,250,0.1785,9.49,33,2769.513788,NH4,1.163426684,13.45400534,-1.03964276
SEWC,CTRL,26,250,0.1785,9.49,33,2769.513788,NP,3.531125182,13.45400534,-1.115815168
SEWC,CTRL,26,250,0.1785,9.49,33,2769.513788,SRP,0.32947761,13.45400534,-0.156826326
SEWC,CTRL,11,0,0.1341,9.09,29,0,NH4,1.045891903,13.45400534,-1.230790816
SEWC,CTRL,11,0,0.1341,9.09,29,0,NP,3.067823267,13.45400534,-1.411434954
SEWC,CTRL,11,0,0.1341,9.09,29,0,SRP,0.340923128,13.45400534,-0.104339491
SEWC,CTRL,28,250,0.1986,9.98,35,335.0378309,NH4,1.166121451,13.45400534,-1.035260232
SEWC,CTRL,28,250,0.1986,9.98,35,335.0378309,NP,3.184165102,13.45400534,-1.337200535
SEWC,CTRL,28,250,0.1986,9.98,35,335.0378309,SRP,0.366225184,13.45400534,0.011690634
SEWC,CTRL,73,1000,0.2361,10.43,35,0,NH4,1.721091699,13.45400534,-0.132706253
SEWC,CTRL,73,1000,0.2361,10.43,35,0,NP,4.498309919,13.45400534,-0.498682072
SEWC,CTRL,73,1000,0.2361,10.43,35,0,SRP,0.38260852,13.45400534,0.086821303
SEWC,CTRL,42,500,0.3031,11.44,38,562.5306863,NH4,1.081830836,13.45400534,-1.17234295
SEWC,CTRL,42,500,0.3031,11.44,38,562.5306863,NP,5.974885054,13.45400534,0.44347856
SEWC,CTRL,42,500,0.3031,11.44,38,562.5306863,SRP,0.181063037,13.45400534,-0.837425596
SEWC,CTRL,58,750,0.3104,11.73,35,0,NH4,0.59944296,13.45400534,-1.95685545
SEWC,CTRL,58,750,0.3104,11.73,35,0,NP,3.368936164,13.45400534,-1.219303371
SEWC,CTRL,58,750,0.3104,11.73,35,0,SRP,0.177932419,13.45400534,-0.851781981
SEWC,CTRL,43,500,0.2341,10.5,41,943.8504178,NH4,0.749876286,13.45400534,-1.712204143
SEWC,CTRL,43,500,0.2341,10.5,41,943.8504178,NP,4.2106794,13.45400534,-0.682210933
SEWC,CTRL,43,500,0.2341,10.5,41,943.8504178,SRP,0.178089143,13.45400534,-0.851063275
SEWC,CTRL,72,1000,0.215,10.37,36,195.1704437,NH4,1.091592384,13.45400534,-1.156467641
SEWC,CTRL,72,1000,0.215,10.37,36,195.1704437,NP,5.501379405,13.45400534,0.141348061
SEWC,CTRL,72,1000,0.215,10.37,36,195.1704437,SRP,0.198421578,13.45400534,-0.757822831
SEWC,CTRL,41,500,0.2043,9.82,39,1286.433711,NH4,0.787158882,13.45400534,-1.651571063
SEWC,CTRL,41,500,0.2043,9.82,39,1286.433711,NP,3.43320984,13.45400534,-1.178292165
SEWC,CTRL,41,500,0.2043,9.82,39,1286.433711,SRP,0.229277824,13.45400534,-0.616322316
