ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
419,RR D,1 g/L,0.2281,13.34,35,161.00,1.94,1.26,,37.22,,3.07297,
420,RR D,1 g/L,0.1945,12.76,34,51.40,1.99,1.03,29.00,28.20,590.59376,988.65147,
422,RR D,1 g/L,0.235,13.12,36,99.40,2.02,1.29,,35.60,,8.68075,
423,RR D,1 g/L,0.1913,12.37,33,60.90,1.89,1.00,37.55,34.43,2.48075,18.31318,
424,RR D,1 g/L,0.1698,12.21,34,85.20,1.88,1.03,28.15,28.92,1021.76476,622.28114,
426,RR D,1 g/L,0.1313,10.52,31,41.40,1.94,0.79,,38.91,,1.03878,
427,RR D,1 g/L,0.1732,12.17,35,66.80,1.89,0.85,34.06,38.16,23.23667,1.68666,
428,RR D,1 g/L,0.1068,10.41,29,55.10,1.85,0.72,39.23,,0.84956,,
429,RR D,1 g/L,0.244,12.71,34,99.30,1.85,0.92,32.31,38.72,70.97605,1.17750,
431,RR D,1 g/L,0.2686,12.62,34,169.10,1.89,0.99,6.31,,1206107467.86668,,
433,RR D,1 g/L,0.2042,12.48,34,163.90,1.93,1.17,37.95,39.45,1.92430,0.73856,
434,RR D,1 g/L,0.1282,10.88,33,80.80,1.99,1.22,39.15,38.28,0.89415,1.55554,
435,RR D,1 g/L,0.1609,11.39,31,134.30,1.92,1.07,,35.54,,8.98216,
437,RR D,1 g/L,0.18,11.5,33,187.40,1.73,0.85,,,,,
438,RR D,1 g/L,0.1387,11.29,28,127.20,1.96,1.28,37.57,35.92,2.45921,7.06550,
440,RR D,1 g/L,0.2226,12.55,34,145.80,1.86,0.94,34.55,33.37,17.01643,36.08805,
